flow-id,msg-id,snd-time,size(B),src-id,dst-id,rcv-time
1,1,0.020030612,100,3,7,0.020037112
1,2,0.020031412,100,3,7,0.020037912
1,3,0.020032212,100,3,7,0.020038712
1,4,0.020033012,100,3,7,0.020039512
1,5,0.020033812,100,3,7,0.020040312
1,6,0.020034612,100,3,7,0.020041112
1,7,0.020035412,100,3,7,0.020041912
1,8,0.020036212,100,3,7,0.020042712
1,9,0.020037012,100,3,7,0.020043512
1,10,0.020037812,100,3,7,0.020044312
1,11,0.020038612,100,3,7,0.020045112
1,12,0.020039412,100,3,7,0.020045912
1,13,0.020040212,100,3,7,0.020046712
1,14,0.020041012,100,3,7,0.020047512
1,15,0.020041812,100,3,7,0.020048312
1,16,0.020042612,100,3,7,0.020049112
1,17,0.020043412,100,3,7,0.020049912
1,18,0.020044212,100,3,7,0.020050712
1,19,0.020045012,100,3,7,0.020051512
1,20,0.020045812,100,3,7,0.020052312
1,21,0.020046612,100,3,7,0.020053112
1,22,0.020047412,100,3,7,0.020053912
1,23,0.020048212,100,3,7,0.020054712
1,24,0.020049012,100,3,7,0.020055512
1,25,0.020049812,100,3,7,0.020056312
1,26,0.020050612,100,3,7,0.020057112
1,27,0.020051412,100,3,7,0.020057912
1,28,0.020052212,100,3,7,0.020058712
1,29,0.020053012,100,3,7,0.020059512
1,30,0.020053812,100,3,7,0.020060312
1,31,0.020054612,100,3,7,0.020061112
1,32,0.020055412,100,3,7,0.020061912
1,33,0.020056212,100,3,7,0.020062712
1,34,0.020057012,100,3,7,0.020063512
1,35,0.020057812,100,3,7,0.020064312
1,36,0.020058612,100,3,7,0.020065112
1,37,0.020059412,100,3,7,0.020065912
1,38,0.020060212,100,3,7,0.020066712
1,39,0.020061012,100,3,7,0.020067512
1,40,0.020061812,100,3,7,0.020068312
1,41,0.020062612,100,3,7,0.020069112
1,42,0.020063412,100,3,7,0.020069912
1,43,0.020064212,100,3,7,0.020070712
1,44,0.020065012,100,3,7,0.020071512
1,45,0.020065812,100,3,7,0.020072312
1,46,0.020066612,100,3,7,0.020073112
1,47,0.020067412,100,3,7,0.020073912
1,48,0.020068212,100,3,7,0.020074712
1,49,0.020069012,100,3,7,0.020075512
1,50,0.020069812,100,3,7,0.020076312
1,51,0.020070612,100,3,7,0.020077112
