flow-id,msg-id,snd-time,size(B),src-id,dst-id,rcv-time
1,1,0.040030612,100,4,1,0.040038512
1,2,0.040031412,100,4,1,0.040039312
1,3,0.040032212,100,4,1,0.040040112
1,4,0.040033012,100,4,1,0.040040912
1,5,0.040033812,100,4,1,0.040041712
1,6,0.040034612,100,4,1,0.040042512
1,7,0.040035412,100,4,1,0.040043312
1,8,0.040036212,100,4,1,0.040044112
1,9,0.040037012,100,4,1,0.040044912
1,10,0.040037812,100,4,1,0.040045712
1,11,0.040038612,100,4,1,0.040046512
1,12,0.040039412,100,4,1,0.040047312
1,13,0.040040212,100,4,1,0.040048112
1,14,0.040041012,100,4,1,0.040048912
1,15,0.040041812,100,4,1,0.040049712
1,16,0.040042612,100,4,1,0.040050512
1,17,0.040043412,100,4,1,0.040051312
1,18,0.040044212,100,4,1,0.040052112
1,19,0.040045012,100,4,1,0.040052912
1,20,0.040045812,100,4,1,0.040053712
1,21,0.040046612,100,4,1,0.040054512
1,22,0.040047412,100,4,1,0.040055312
1,23,0.040048212,100,4,1,0.040056112
1,24,0.040049012,100,4,1,0.040056912
1,25,0.040049812,100,4,1,0.040057712
1,26,0.040050612,100,4,1,0.040058512
1,27,0.040051412,100,4,1,0.040059312
1,28,0.040052212,100,4,1,0.040060112
1,29,0.040053012,100,4,1,0.040060912
1,30,0.040053812,100,4,1,0.040061712
1,31,0.040054612,100,4,1,0.040062512
1,32,0.040055412,100,4,1,0.040063312
1,33,0.040056212,100,4,1,0.040064112
1,34,0.040057012,100,4,1,0.040064912
1,35,0.040057812,100,4,1,0.040065712
1,36,0.040058612,100,4,1,0.040066512
1,37,0.040059412,100,4,1,0.040067312
1,38,0.040060212,100,4,1,0.040068112
1,39,0.040061012,100,4,1,0.040068912
1,40,0.040061812,100,4,1,0.040069712
1,41,0.040062612,100,4,1,0.040070512
1,42,0.040063412,100,4,1,0.040071312
1,43,0.040064212,100,4,1,0.040072112
1,44,0.040065012,100,4,1,0.040072912
1,45,0.040065812,100,4,1,0.040073712
1,46,0.040066612,100,4,1,0.040074512
1,47,0.040067412,100,4,1,0.040075312
1,48,0.040068212,100,4,1,0.040076112
1,49,0.040069012,100,4,1,0.040076912
1,50,0.040069812,100,4,1,0.040077712
1,51,0.040070612,100,4,1,0.040078512
1,52,0.040071412,100,4,1,0.040079312
1,53,0.040072212,100,4,1,0.040080112
1,54,0.040073012,100,4,1,0.040080912
1,55,0.040073812,100,4,1,0.040081712
1,56,0.040074612,100,4,1,0.040082512
1,57,0.040075412,100,4,1,0.040083312
1,58,0.040076212,100,4,1,0.040084112
1,59,0.040077012,100,4,1,0.040084912
1,60,0.040077812,100,4,1,0.040085712
1,61,0.040078612,100,4,1,0.040086512
1,62,0.040079412,100,4,1,0.040087312
1,63,0.040080212,100,4,1,0.040088112
1,64,0.040081012,100,4,1,0.040088912
1,65,0.040081812,100,4,1,0.040089712
1,66,0.040082612,100,4,1,0.040090512
1,67,0.040083412,100,4,1,0.040091312
1,68,0.040084212,100,4,1,0.040092112
1,69,0.040085012,100,4,1,0.040092912
1,70,0.040085812,100,4,1,0.040093712
1,71,0.040086612,100,4,1,0.040094512
1,72,0.040087412,100,4,1,0.040095312
1,73,0.040088212,100,4,1,0.040096112
1,74,0.040089012,100,4,1,0.040096912
1,75,0.040089812,100,4,1,0.040097712
1,76,0.040090612,100,4,1,0.040098512
1,77,0.040091412,100,4,1,0.040099312
1,78,0.040092212,100,4,1,0.040100112
1,79,0.040093012,100,4,1,0.040100912
1,80,0.040093812,100,4,1,0.040101712
1,81,0.040094612,100,4,1,0.040102512
1,82,0.040095412,100,4,1,0.040103312
1,83,0.040096212,100,4,1,0.040104112
1,84,0.040097012,100,4,1,0.040104912
1,85,0.040097812,100,4,1,0.040105712
1,86,0.040098612,100,4,1,0.040106512
1,87,0.040099412,100,4,1,0.040107312
1,88,0.040100212,100,4,1,0.040108112
1,89,0.040101012,100,4,1,0.040108912
1,90,0.040101812,100,4,1,0.040109712
1,91,0.040102612,100,4,1,0.040110512
1,92,0.040103412,100,4,1,0.040111312
1,93,0.040104212,100,4,1,0.040112112
1,94,0.040105012,100,4,1,0.040112912
1,95,0.040105812,100,4,1,0.040113712
1,96,0.040106612,100,4,1,0.040114512
1,97,0.040107412,100,4,1,0.040115312
1,98,0.040108212,100,4,1,0.040116112
1,99,0.040109012,100,4,1,0.040116912
1,100,0.040109812,100,4,1,0.040117712
1,101,0.040110612,100,4,1,0.040118512
1,102,0.040111412,100,4,1,0.040119312
1,103,0.040112212,100,4,1,0.040120112
1,104,0.040113012,100,4,1,0.040120912
1,105,0.040113812,100,4,1,0.040121712
1,106,0.040114612,100,4,1,0.040122512
1,107,0.040115412,100,4,1,0.040123312
1,108,0.040116212,100,4,1,0.040124112
1,109,0.040117012,100,4,1,0.040124912
1,110,0.040117812,100,4,1,0.040125712
1,111,0.040118612,100,4,1,0.040126512
1,112,0.040119412,100,4,1,0.040127312
1,113,0.040120212,100,4,1,0.040128112
1,114,0.040121012,100,4,1,0.040128912
1,115,0.040121812,100,4,1,0.040129712
1,116,0.040122612,100,4,1,0.040130512
1,117,0.040123412,100,4,1,0.040131312
1,118,0.040124212,100,4,1,0.040132112
1,119,0.040125012,100,4,1,0.040132912
1,120,0.040125812,100,4,1,0.040133712
1,121,0.040126612,100,4,1,0.040134512
1,122,0.040127412,100,4,1,0.040135312
1,123,0.040128212,100,4,1,0.040136112
1,124,0.040129012,100,4,1,0.040136912
1,125,0.040129812,100,4,1,0.040137712
1,126,0.040130612,100,4,1,0.040138512
1,127,0.040131412,100,4,1,0.040139312
1,128,0.040132212,100,4,1,0.040140112
1,129,0.040133012,100,4,1,0.040140912
1,130,0.040133812,100,4,1,0.040141712
1,131,0.040134612,100,4,1,0.040142512
1,132,0.040135412,100,4,1,0.040143312
1,133,0.040136212,100,4,1,0.040144112
1,134,0.040137012,100,4,1,0.040144912
1,135,0.040137812,100,4,1,0.040145712
1,136,0.040138612,100,4,1,0.040146512
1,137,0.040139412,100,4,1,0.040147312
1,138,0.040140212,100,4,1,0.040148112
1,139,0.040141012,100,4,1,0.040148912
1,140,0.040141812,100,4,1,0.040149712
1,141,0.040142612,100,4,1,0.040150512
1,142,0.040143412,100,4,1,0.040151312
1,143,0.040144212,100,4,1,0.040152112
1,144,0.040145012,100,4,1,0.040152912
1,145,0.040145812,100,4,1,0.040153712
1,146,0.040146612,100,4,1,0.040154512
1,147,0.040147412,100,4,1,0.040155312
1,148,0.040148212,100,4,1,0.040156112
1,149,0.040149012,100,4,1,0.040156912
1,150,0.040149812,100,4,1,0.040157712
1,151,0.040150612,100,4,1,0.040158512
1,152,0.040151412,100,4,1,0.040159312
1,153,0.040152212,100,4,1,0.040160112
1,154,0.040153012,100,4,1,0.040160912
1,155,0.040153812,100,4,1,0.040161712
1,156,0.040154612,100,4,1,0.040162512
1,157,0.040155412,100,4,1,0.040163312
1,158,0.040156212,100,4,1,0.040164112
1,159,0.040157012,100,4,1,0.040164912
1,160,0.040157812,100,4,1,0.040165712
1,161,0.040158612,100,4,1,0.040166512
1,162,0.040159412,100,4,1,0.040167312
1,163,0.040160212,100,4,1,0.040168112
1,164,0.040161012,100,4,1,0.040168912
1,165,0.040161812,100,4,1,0.040169712
1,166,0.040162612,100,4,1,0.040170512
1,167,0.040163412,100,4,1,0.040171312
1,168,0.040164212,100,4,1,0.040172112
1,169,0.040165012,100,4,1,0.040172912
1,170,0.040165812,100,4,1,0.040173712
1,171,0.040166612,100,4,1,0.040174512
1,172,0.040167412,100,4,1,0.040175312
1,173,0.040168212,100,4,1,0.040176112
1,174,0.040169012,100,4,1,0.040176912
1,175,0.040169812,100,4,1,0.040177712
1,176,0.040170612,100,4,1,0.040178512
1,177,0.040171412,100,4,1,0.040179312
1,178,0.040172212,100,4,1,0.040180112
1,179,0.040173012,100,4,1,0.040180912
1,180,0.040173812,100,4,1,0.040181712
1,181,0.040174612,100,4,1,0.040182512
1,182,0.040175412,100,4,1,0.040183312
1,183,0.040176212,100,4,1,0.040184112
1,184,0.040177012,100,4,1,0.040184912
1,185,0.040177812,100,4,1,0.040185712
1,186,0.040178612,100,4,1,0.040186512
1,187,0.040179412,100,4,1,0.040187312
1,188,0.040180212,100,4,1,0.040188112
1,189,0.040181012,100,4,1,0.040188912
1,190,0.040181812,100,4,1,0.040189712
1,191,0.040182612,100,4,1,0.040190512
1,192,0.040183412,100,4,1,0.040191312
1,193,0.040184212,100,4,1,0.040192112
1,194,0.040185012,100,4,1,0.040192912
1,195,0.040185812,100,4,1,0.040193712
1,196,0.040186612,100,4,1,0.040194512
1,197,0.040187412,100,4,1,0.040195312
1,198,0.040188212,100,4,1,0.040196112
1,199,0.040189012,100,4,1,0.040196912
1,200,0.040189812,100,4,1,0.040197712
1,201,0.040190612,100,4,1,0.040198512
1,202,0.040191412,100,4,1,0.040199312
1,203,0.040192212,100,4,1,0.040200112
1,204,0.040193012,100,4,1,0.040200912
1,205,0.040193812,100,4,1,0.040201712
1,206,0.040194612,100,4,1,0.040202512
1,207,0.040195412,100,4,1,0.040203312
1,208,0.040196212,100,4,1,0.040204112
1,209,0.040197012,100,4,1,0.040204912
1,210,0.040197812,100,4,1,0.040205712
1,211,0.040198612,100,4,1,0.040206512
1,212,0.040199412,100,4,1,0.040207312
1,213,0.040200212,100,4,1,0.040208112
1,214,0.040201012,100,4,1,0.040208912
1,215,0.040201812,100,4,1,0.040209712
1,216,0.040202612,100,4,1,0.040210512
1,217,0.040203412,100,4,1,0.040211312
1,218,0.040204212,100,4,1,0.040212112
1,219,0.040205012,100,4,1,0.040212912
1,220,0.040205812,100,4,1,0.040213712
1,221,0.040206612,100,4,1,0.040214512
1,222,0.040207412,100,4,1,0.040215312
1,223,0.040208212,100,4,1,0.040216112
1,224,0.040209012,100,4,1,0.040216912
1,225,0.040209812,100,4,1,0.040217712
1,226,0.040210612,100,4,1,0.040218512
1,227,0.040211412,100,4,1,0.040219312
1,228,0.040212212,100,4,1,0.040220112
1,229,0.040213012,100,4,1,0.040220912
1,230,0.040213812,100,4,1,0.040221712
1,231,0.040214612,100,4,1,0.040222512
1,232,0.040215412,100,4,1,0.040223312
1,233,0.040216212,100,4,1,0.040224112
1,234,0.040217012,100,4,1,0.040224912
1,235,0.040217812,100,4,1,0.040225712
1,236,0.040218612,100,4,1,0.040226512
1,237,0.040219412,100,4,1,0.040227312
1,238,0.040220212,100,4,1,0.040228112
1,239,0.040221012,100,4,1,0.040228912
1,240,0.040221812,100,4,1,0.040229712
1,241,0.040222612,100,4,1,0.040230512
1,242,0.040223412,100,4,1,0.040231312
1,243,0.040224212,100,4,1,0.040232112
1,244,0.040225012,100,4,1,0.040232912
1,245,0.040225812,100,4,1,0.040233712
1,246,0.040226612,100,4,1,0.040234512
1,247,0.040227412,100,4,1,0.040235312
1,248,0.040228212,100,4,1,0.040236112
1,249,0.040229012,100,4,1,0.040236912
1,250,0.040229812,100,4,1,0.040237712
1,251,0.040230612,100,4,1,0.040238512
1,252,0.040231412,100,4,1,0.040239312
1,253,0.040232212,100,4,1,0.040240112
1,254,0.040233012,100,4,1,0.040240912
1,255,0.040233812,100,4,1,0.040241712
1,256,0.040234612,100,4,1,0.040242512
1,257,0.040235412,100,4,1,0.040243312
1,258,0.040236212,100,4,1,0.040244112
1,259,0.040237012,100,4,1,0.040244912
1,260,0.040237812,100,4,1,0.040245712
1,261,0.040238612,100,4,1,0.040246512
1,262,0.040239412,100,4,1,0.040247312
1,263,0.040240212,100,4,1,0.040248112
1,264,0.040241012,100,4,1,0.040248912
1,265,0.040241812,100,4,1,0.040249712
1,266,0.040242612,100,4,1,0.040250512
1,267,0.040243412,100,4,1,0.040251312
1,268,0.040244212,100,4,1,0.040252112
1,269,0.040245012,100,4,1,0.040252912
1,270,0.040245812,100,4,1,0.040253712
1,271,0.040246612,100,4,1,0.040254512
1,272,0.040247412,100,4,1,0.040255312
1,273,0.040248212,100,4,1,0.040256112
1,274,0.040249012,100,4,1,0.040256912
1,275,0.040249812,100,4,1,0.040257712
1,276,0.040250612,100,4,1,0.040258512
1,277,0.040251412,100,4,1,0.040259312
1,278,0.040252212,100,4,1,0.040260112
1,279,0.040253012,100,4,1,0.040260912
1,280,0.040253812,100,4,1,0.040261712
1,281,0.040254612,100,4,1,0.040262512
1,282,0.040255412,100,4,1,0.040263312
1,283,0.040256212,100,4,1,0.040264112
1,284,0.040257012,100,4,1,0.040264912
1,285,0.040257812,100,4,1,0.040265712
1,286,0.040258612,100,4,1,0.040266512
1,287,0.040259412,100,4,1,0.040267312
1,288,0.040260212,100,4,1,0.040268112
1,289,0.040261012,100,4,1,0.040268912
1,290,0.040261812,100,4,1,0.040269712
1,291,0.040262612,100,4,1,0.040270512
1,292,0.040263412,100,4,1,0.040271312
1,293,0.040264212,100,4,1,0.040272112
1,294,0.040265012,100,4,1,0.040272912
1,295,0.040265812,100,4,1,0.040273712
1,296,0.040266612,100,4,1,0.040274512
1,297,0.040267412,100,4,1,0.040275312
1,298,0.040268212,100,4,1,0.040276112
1,299,0.040269012,100,4,1,0.040276912
1,300,0.040269812,100,4,1,0.040277712
1,301,0.040270612,100,4,1,0.040278512
1,302,0.040271412,100,4,1,0.040279312
1,303,0.040272212,100,4,1,0.040280112
1,304,0.040273012,100,4,1,0.040280912
1,305,0.040273812,100,4,1,0.040281712
1,306,0.040274612,100,4,1,0.040282512
1,307,0.040275412,100,4,1,0.040283312
1,308,0.040276212,100,4,1,0.040284112
1,309,0.040277012,100,4,1,0.040284912
1,310,0.040277812,100,4,1,0.040285712
1,311,0.040278612,100,4,1,0.040286512
1,312,0.040279412,100,4,1,0.040287312
1,313,0.040280212,100,4,1,0.040288112
1,314,0.040281012,100,4,1,0.040288912
1,315,0.040281812,100,4,1,0.040289712
1,316,0.040282612,100,4,1,0.040290512
1,317,0.040283412,100,4,1,0.040291312
1,318,0.040284212,100,4,1,0.040292112
1,319,0.040285012,100,4,1,0.040292912
1,320,0.040285812,100,4,1,0.040293712
1,321,0.040286612,100,4,1,0.040294512
1,322,0.040287412,100,4,1,0.040295312
1,323,0.040288212,100,4,1,0.040296112
1,324,0.040289012,100,4,1,0.040296912
1,325,0.040289812,100,4,1,0.040297712
1,326,0.040290612,100,4,1,0.040298512
1,327,0.040291412,100,4,1,0.040299312
1,328,0.040292212,100,4,1,0.040300112
1,329,0.040293012,100,4,1,0.040300912
1,330,0.040293812,100,4,1,0.040301712
1,331,0.040294612,100,4,1,0.040302512
1,332,0.040295412,100,4,1,0.040303312
1,333,0.040296212,100,4,1,0.040304112
1,334,0.040297012,100,4,1,0.040304912
1,335,0.040297812,100,4,1,0.040305712
1,336,0.040298612,100,4,1,0.040306512
1,337,0.040299412,100,4,1,0.040307312
1,338,0.040300212,100,4,1,0.040308112
1,339,0.040301012,100,4,1,0.040308912
1,340,0.040301812,100,4,1,0.040309712
1,341,0.040302612,100,4,1,0.040310512
1,342,0.040303412,100,4,1,0.040311312
1,343,0.040304212,100,4,1,0.040312112
1,344,0.040305012,100,4,1,0.040312912
1,345,0.040305812,100,4,1,0.040313712
1,346,0.040306612,100,4,1,0.040314512
1,347,0.040307412,100,4,1,0.040315312
1,348,0.040308212,100,4,1,0.040316112
1,349,0.040309012,100,4,1,0.040316912
1,350,0.040309812,100,4,1,0.040317712
1,351,0.040310612,100,4,1,0.040318512
1,352,0.040311412,100,4,1,0.040319312
1,353,0.040312212,100,4,1,0.040320112
1,354,0.040313012,100,4,1,0.040320912
1,355,0.040313812,100,4,1,0.040321712
1,356,0.040314612,100,4,1,0.040322512
1,357,0.040315412,100,4,1,0.040323312
1,358,0.040316212,100,4,1,0.040324112
1,359,0.040317012,100,4,1,0.040324912
1,360,0.040317812,100,4,1,0.040325712
1,361,0.040318612,100,4,1,0.040326512
1,362,0.040319412,100,4,1,0.040327312
1,363,0.040320212,100,4,1,0.040328112
1,364,0.040321012,100,4,1,0.040328912
1,365,0.040321812,100,4,1,0.040329712
1,366,0.040322612,100,4,1,0.040330512
1,367,0.040323412,100,4,1,0.040331312
1,368,0.040324212,100,4,1,0.040332112
1,369,0.040325012,100,4,1,0.040332912
1,370,0.040325812,100,4,1,0.040333712
1,371,0.040326612,100,4,1,0.040334512
1,372,0.040327412,100,4,1,0.040335312
1,373,0.040328212,100,4,1,0.040336112
1,374,0.040329012,100,4,1,0.040336912
1,375,0.040329812,100,4,1,0.040337712
1,376,0.040330612,100,4,1,0.040338512
1,377,0.040331412,100,4,1,0.040339312
1,378,0.040332212,100,4,1,0.040340112
1,379,0.040333012,100,4,1,0.040340912
1,380,0.040333812,100,4,1,0.040341712
1,381,0.040334612,100,4,1,0.040342512
1,382,0.040335412,100,4,1,0.040343312
1,383,0.040336212,100,4,1,0.040344112
1,384,0.040337012,100,4,1,0.040344912
1,385,0.040337812,100,4,1,0.040345712
1,386,0.040338612,100,4,1,0.040346512
1,387,0.040339412,100,4,1,0.040347312
1,388,0.040340212,100,4,1,0.040348112
1,389,0.040341012,100,4,1,0.040348912
1,390,0.040341812,100,4,1,0.040349712
1,391,0.040342612,100,4,1,0.040350512
1,392,0.040343412,100,4,1,0.040351312
1,393,0.040344212,100,4,1,0.040352112
1,394,0.040345012,100,4,1,0.040352912
1,395,0.040345812,100,4,1,0.040353712
1,396,0.040346612,100,4,1,0.040354512
1,397,0.040347412,100,4,1,0.040355312
1,398,0.040348212,100,4,1,0.040356112
1,399,0.040349012,100,4,1,0.040356912
1,400,0.040349812,100,4,1,0.040357712
1,401,0.040350612,100,4,1,0.040358512
1,402,0.040351412,100,4,1,0.040359312
1,403,0.040352212,100,4,1,0.040360112
1,404,0.040353012,100,4,1,0.040360912
1,405,0.040353812,100,4,1,0.040361712
1,406,0.040354612,100,4,1,0.040362512
1,407,0.040355412,100,4,1,0.040363312
1,408,0.040356212,100,4,1,0.040364112
1,409,0.040357012,100,4,1,0.040364912
1,410,0.040357812,100,4,1,0.040365712
1,411,0.040358612,100,4,1,0.040366512
1,412,0.040359412,100,4,1,0.040367312
1,413,0.040360212,100,4,1,0.040368112
1,414,0.040361012,100,4,1,0.040368912
1,415,0.040361812,100,4,1,0.040369712
1,416,0.040362612,100,4,1,0.040370512
1,417,0.040363412,100,4,1,0.040371312
1,418,0.040364212,100,4,1,0.040372112
1,419,0.040365012,100,4,1,0.040372912
1,420,0.040365812,100,4,1,0.040373712
1,421,0.040366612,100,4,1,0.040374512
1,422,0.040367412,100,4,1,0.040375312
1,423,0.040368212,100,4,1,0.040376112
1,424,0.040369012,100,4,1,0.040376912
1,425,0.040369812,100,4,1,0.040377712
1,426,0.040370612,100,4,1,0.040378512
1,427,0.040371412,100,4,1,0.040379312
1,428,0.040372212,100,4,1,0.040380112
1,429,0.040373012,100,4,1,0.040380912
1,430,0.040373812,100,4,1,0.040381712
1,431,0.040374612,100,4,1,0.040382512
1,432,0.040375412,100,4,1,0.040383312
1,433,0.040376212,100,4,1,0.040384112
1,434,0.040377012,100,4,1,0.040384912
1,435,0.040377812,100,4,1,0.040385712
1,436,0.040378612,100,4,1,0.040386512
1,437,0.040379412,100,4,1,0.040387312
1,438,0.040380212,100,4,1,0.040388112
1,439,0.040381012,100,4,1,0.040388912
1,440,0.040381812,100,4,1,0.040389712
1,441,0.040382612,100,4,1,0.040390512
1,442,0.040383412,100,4,1,0.040391312
1,443,0.040384212,100,4,1,0.040392112
1,444,0.040385012,100,4,1,0.040392912
1,445,0.040385812,100,4,1,0.040393712
1,446,0.040386612,100,4,1,0.040394512
1,447,0.040387412,100,4,1,0.040395312
1,448,0.040388212,100,4,1,0.040396112
1,449,0.040389012,100,4,1,0.040396912
1,450,0.040389812,100,4,1,0.040397712
1,451,0.040390612,100,4,1,0.040398512
1,452,0.040391412,100,4,1,0.040399312
1,453,0.040392212,100,4,1,0.040400112
1,454,0.040393012,100,4,1,0.040400912
1,455,0.040393812,100,4,1,0.040401712
1,456,0.040394612,100,4,1,0.040402512
1,457,0.040395412,100,4,1,0.040403312
1,458,0.040396212,100,4,1,0.040404112
1,459,0.040397012,100,4,1,0.040404912
1,460,0.040397812,100,4,1,0.040405712
1,461,0.040398612,100,4,1,0.040406512
1,462,0.040399412,100,4,1,0.040407312
1,463,0.040400212,100,4,1,0.040408112
1,464,0.040401012,100,4,1,0.040408912
1,465,0.040401812,100,4,1,0.040409712
1,466,0.040402612,100,4,1,0.040410512
1,467,0.040403412,100,4,1,0.040411312
1,468,0.040404212,100,4,1,0.040412112
1,469,0.040405012,100,4,1,0.040412912
1,470,0.040405812,100,4,1,0.040413712
1,471,0.040406612,100,4,1,0.040414512
1,472,0.040407412,100,4,1,0.040415312
1,473,0.040408212,100,4,1,0.040416112
1,474,0.040409012,100,4,1,0.040416912
1,475,0.040409812,100,4,1,0.040417712
1,476,0.040410612,100,4,1,0.040418512
1,477,0.040411412,100,4,1,0.040419312
1,478,0.040412212,100,4,1,0.040420112
1,479,0.040413012,100,4,1,0.040420912
1,480,0.040413812,100,4,1,0.040421712
1,481,0.040414612,100,4,1,0.040422512
1,482,0.040415412,100,4,1,0.040423312
1,483,0.040416212,100,4,1,0.040424112
